Naam aanvrager;Vestigingsplaats;Toegekend bedrag
HUISMAN'S SCHOENHANDEL B.V.;HUISSEN;12.543
HUISMAN-WIJFFELS B.V.;SLUIS;19.491
HUISSEN;YERSEKE;3.918
HUIS-WERK ASSEN B.V.;ZUIDLAREN;1.821
HUISWERKINSTITUUT AMSTERDAM B.V.;AMSTERDAM;9.822
HUITINK SALES B.V.;GROENLO;1.689
HUIZE BERGEN B.V.;VUGHT;122.916
HUIZE HOLLAND V.O.F.;UDEN;6.513
HUIZE HOLLANDIA B.V.;SLUIS;3.792
HUIZE HOLTERHOF EXPLOITATIE B.V.;ENSCHEDE;22.986
HUIZE JOOSEN B.V.;BREDA;4.770
HUIZE KONINGSBOSCH B.V.;CASTRICUM;50.244
HUIZE MOLENAAR B.V.;UTRECHT;76.302
HUIZER HOCKEY CLUB(H.H.C.);NAARDEN;5.079
HUIZER KOFFIE B.V.;HUIZEN;9.168
HUIZING;'S-GRAVENHAGE;22.131
HUIZING;'T HAANTJE;2.823
HUIZING;ROLDE;942
HUIZINGA;VEGHEL;40.986
HUIZINGA;NES AMELAND;21.588
HUIZINGA;UDEN;18.825
HUIZINGA;AMSTERDAM;7.587
HUIZINGA;EELDERWOLDE;4.458
HUIZINGA;ROSMALEN;3.579
HUIZON B.V.;HEERHUGOWAARD;8.823
HUKE;SCHIEDAM;7.806
HUKO METAAL B.V.;OLDENZAAL;12.228
HUL;VOORTHUIZEN;2.688
HULA-HULA B.V.;AMSTERDAM;24.453
HULKENBERG B.V.;'S-HEERENBERG;82.749
HULLENAAR;DONGEN;879
HULLIE SPEELBOERDERIJ B.V.;UDEN;58.950
HULS;DINXPERLO;5.841
HULS;UITHOORN;870
HULS;SILVOLDE;102
HULSBOSCH;VOGELENZANG;6.222
HULSBOSCH;HILLEGOM;1.392
HULSBOSCH B.V.;OOSTERHOUT NB;25.518
HULSCHER;ALMERE;3.024
HULSE;ROTTERDAM;3.660
HULSEBOS;APELDOORN;2.190
HULSEBOS;PUTTE;1.065
HULSEBOS ZADELS B.V.;EMST;10.959
HULSEBOSCH BLOEMBOLLEN B.V.;JULIANADORP;106.983
HULSENBOOM;BERKEL EN RODENRIJS;24.522
HULSHOF;NIEUW-BUINEN;9.996
HULSHOF BUSINESS CASES B.V.;LICHTENVOORDE;16.152
HULSHOF CARWASH B.V.;HAAKSBERGEN;16.953
HULSHOFF WONEN C.V.;VOORSCHOTEN;40.740
HULSINK;BORNE;17.580
HULSKER;'S-GRAVENHAGE;1.041
HULSKERS;HEERENVEEN;3.444
HULSKOTTE;DENEKAMP;2.778
HULSMAN;AMSTERDAM;3.879
HULST;DOKKUM;11.889
HULST;LISSE;8.538
HULST;AVENHORN;4.584
HULST;NOORDWIJK ZH;2.478
HULST;VLEUTEN;1.332
HULST;AMMERZODEN;486
HULST INNOVATIE B.V.;WESTEREMDEN;11.778
HULSTEIJN;VORDEN;13.533
HULSTER;NIEUWERKERK AD IJSSEL;12.573
HULSTER;TIEL;981
HULTEC B.V.;NIEUWKUIJK;6.813
HULTEN;VORTUM-MULLEM;7.104
HULTERS;BAVEL;3.966
HUMAKO HOLDING B.V.;RIJSENHOUT;13.665
HUMAN ANGLE B.V.;AMSTERDAM;24.438
HUMAN DIMENSIONS B.V.;UTRECHT;6.114
HUMAN DRIVE B.V.;DOESBURG;32.010
HUMAN SERVICES B.V.;ROELOFARENDSVEEN;18.546
HUMANAGEMENT B.V.;DELFT;59.697
HUMANOID SOFTWARE DEVICES B.V.;SCHAIJK;8.949
HUMBLET;SITTARD;2.187
HUMMEL;EMMEN;2.073
HUMMEL TUIN TOTAAL B.V.;NOORDHORN;4.998
HUMMELINCK STUURMAN THEATERBUREAU   B.V.;AMSTERDAM;26.067
HUMMELINK;HAAKSBERGEN;3.411
HUMPANG;NAALDWIJK;3.732
HUMPHREY'S UDEN B.V.;UDEN;11.640
HUMPY BABY- EN KINDERBOETIEK V.O.F.;NOORDWIJK ZH;11.871
HUNDSCHEID;HEERLEN;4.131
HUNEKER;BEVERWIJK;2.289
HUNKEMOLLER B.V.;HILVERSUM;1.622.655
HUNKEMOLLER INTERNATIONAL B.V.;HILVERSUM;26.049
HUNKER V.O.F.;SITTARD;3.453
HUNLAND IMPEX B.V.;WESTENDORP;48.291
HUNNEKENS;GRASHOEK;3.414
HUNNEKENS TRANSPORT B.V.;ROGGEL;8.850
HUNNIK;BRIELLE;3.888
HUNSO ORING COMBINATIE;ODOORN;651
HUNT IT B.V.;NIEUWEGEIN;8.316
HUNTER OFFSHORE C.V.;HIPPOLYTUSHOEF;7.347
HUNTER PARSON REAL ESTATE B.V.;ERICA;8.676
HUNTINK;AALTEN;7.974
HUP;KAMPEN;14.598
HUP & HUP V.O.F.;ROGAT;30.720
HUPPERTS;AMSTERDAM;1.104
HUPPERTZ;VAALS;7.863
HUPPERTZ;BOCHOLTZ;1.878
HURD;AMSTERDAM;13.362
HUREN.NL B.V.;UTRECHT;29.619
HURINK;VILSTEREN;21.064
HURINK;OMMEN;2.922
HURK;EINDHOVEN;25.833
HURKENS;BORCULO;2.979
HURKMANS GROEP B.V.;HEESWIJK-DINTHER;6.981
HURKX MOTOREN & SCOOTERS V.O.F.;EINDHOVEN;1.413
HURRICANE HORECA B.V.;'S-GRAVENHAGE;11.127
HURRIYET UITZENDORGANISATIE EN MANAGEMENT SCHIEDAM B.V.;SCHIEDAM;3.483
HUSA LOGISTICS B.V.;VEENDAM;98.301
HUSA LOGISTICS B.V.;VEENDAM;7.755
HUSA WORKFORCE B.V.;VEENDAM;56.226
HUSCHKA SAFETY SERVICES B.V.;LEIDERDORP;7.566
HUSHYARI;LEIDEN;1.263
HUSKEN;'S-GRAVENHAGE;4.482
HUSKI REIZEN B.V.;HOUTEN;99.042
HUSKIC;GRONINGEN;6.930
HUSS B.V.;ALBLASSERDAM;45.147
HUSSAIN;AMSTERDAM;19.839
HUSSAIN;'S-GRAVENHAGE;11.808
HUSSAIN;AMSTERDAM;1.821
HUSSAINY;LEIDERDORP;1.287
HUSTIN;HEEL;4.044
HUSZAR V.O.F.;DELFT;44.940
HUT;KRIMPEN AAN DEN IJSSEL;1.029
HUT VAN MIE PILS B.V.;WAALRE;11.526
HUTKAMP B.V.;WINTERSWIJK BRINKHEURNE;8.931
HUTSPOT B.V.;'S-GRAVENHAGE;9.390
HUTSPOT BREDA B.V.;AMSTERDAM;6.762
HUTSPOT DEN BOSCH B.V.;AMSTERDAM;6.852
HUTSPOT EINDHOVEN B.V.;AMSTERDAM;11.236
HUTSPOT MP B.V.;AMSTERDAM;16.712
HUTSPOT ROTTERDAM B.V.;AMSTERDAM;12.162
HUTSPOT SERVICES B.V.;AMSTERDAM;25.510
HUTSPOT UTRECHT B.V.;AMSTERDAM;8.518
HUTTEN;GOIRLE;10.389
HUTTEN B.V.;TILBURG;22.725
HUTTEN BUSINESS CATERING            INCLUSIVITEIT B.V.;VEGHEL;10.629
HUTTEN BUSINESS CATERING B.V.;VEGHEL;1.694.142
HUTTEN CATERING B.V.;VEGHEL;1.174.101
HUTTEN FOOD CARE B.V.;VEGHEL;301.047
HUTTEN MULTI SERVICES B.V.;VEGHEL;192.468
HUTTEN SERVICE KANTOOR B.V.;VEGHEL;910.128
HUTTEN VERHUUR B.V.;IJMUIDEN;14.895
HUTTER VEILIGHEID B.V.;HOOFDDORP;8.367
HUTTGES TRANSPORT SERVICE NEDERLAND B.V.;RIDDERKERK;31.215
HUTTINGA;HAAREN;6.150
HUTTOPIA NL B.V.;UTRECHT;35.532
HUUB DEN BELS B.V.;TEGELEN;3.948
HUUB LEURS PLANTENKULTURES B.V.;VENLO;2.196
HUUB PAYMANS B.V.;TIEL;47.076
HUUB VAN LEIJSEN B.V.;DONGEN;7.011
HUUKSLOOT;OOSTERBEEK;2.706
HUURDEMAN B.V.;LEUSDEN;7.710
HUURMAN;AMSTERDAM;2.025
HUVA INTERNATIONAL B.V.;ROERMOND;1.302
HUVEMA B.V.;VEGHEL;23.007
HU-WENG GOODIES B.V.;GORINCHEM;40.017
HUYBRECHTS;ROERMOND;420
HUYG SPORT HAARLEM BV;HAARLEM;14.952
HUYNH;NIJMEGEN;10.713
HUYNH;UTRECHT;10.317
HUYNH;DEURNE;1.860
HUYS;VENLO;18.705
HUYS VAN ROOSEVELT B.V.;OUD-VOSSEMEER;18.006
HUYSDENS;UDEN;1.758
HUZWA B.V.;'S-HERTOGENBOSCH;9.492
HV BOUWONTWIKKELING MEPPEL B.V.;MEPPEL;4.803
HV TECHNIEK B.V.;ALKMAAR;5.088
HVB INITIATIEFGROEP B.V.;BERKEL-ENSCHOT;10.005
HVE ARCHITECTEN B.V.;'S-GRAVENHAGE;18.843
HVEG ACCESSORIES GROUP B.V.;EINDHOVEN;21.075
H-VEST V.O.F.;BORCULO;9.060
HVM OUDE TANKE;HAAKSBERGEN;2.547
HVMP MARKETING B.V.;ROTTERDAM;50.580
HVN STRAALTECHNIEK B.V.;OSS;7.158
HVR EVENTS DRIEBERGEN B.V.;DRIEBERGEN-RIJSENBURG;31.023
HVR SHOW EQUIPMENT B.V.;RAVENSTEIN;73.902
HVS GROEP B.V.;DODEWAARD;48.678
HVS HORECA-EXPLOITATIE EN -ADVIES   V O F;OUDENBOSCH;2.649
HVS ORCHIDS;PIJNACKER;8.931
HVV TUBANTIA;HENGELO OV;732
HW YACHTCHARTER B.V.;GROU;14.619
HWA WON KOREAANS RESTAURANT V.O.F.;AMSTERDAM;4.083
HWC EVENTS & RENTAL B.V.;AMSTERDAM-DUIVENDRECHT;20.298
HWC GROUP B.V.;GOUDA;1.656
HWC OPLEIDINGEN B.V.;GOUDA;7.191
HWE PROFESSIONALS B.V.;BARENDRECHT;110.664
HWE PROFESSIONALS B.V.;BARENDRECHT;22.011
HWM B.V.;WEESP;43.443
HWW B.V.;LAREN NH;3.165
HWZ B.V.;HAARLEM;5.751
HXB B.V.;DELFGAUW;2.199
HY5. TECH B.V.;AMSTERDAM;894
HYBRIX B.V.;ZWOLLE;8.019
HYDRAUFLUSH INTERNATIONAL B.V.;WORMERVEER;13.116
HYDRAULIC SYSTEMS ENGINEERING B.V.;VAASSEN;36.828
HYDRAULIEKSERVICE EINDHOVEN B.V.;BEST;9.522
HYDRAULIEKSERVICE UTRECHT B.V.;NIEUWEGEIN;7.857
HYDRO ARMOR SALES N.V.;GENDT;6.288
HYDRO HUISMAN B.V.;AALSMEER;12.843
HYDROCHEMIE B.V.;BERKEL EN RODENRIJS;41.265
HYDROFLEX-HYDRAULICS B.V.;OUD-BEIJERLAND;41.211
HYDROMASTER PROPULSION B.V.;ROTTERDAM;47.094
HYDROSAN B.V.;HALSTEREN;39.228
HYDROSAN SERVICES B.V.;HALSTEREN;9.630
HYDRO-SANO B.V.;ALMERE;5.652
HYDROTEK B.V.;ROOSENDAAL;9.903
HYDROTEST B.V.;SOEST;21.180
HYDROTON B.V.;DE MEERN;51.486
HYDRO-WEST B.V.;ZWAAG;29.613
HYDROWORLD B.V.;SCHINNEN;11.205
HYET HYDROGEN B.V.;ARNHEM;228.039
HYET SOLAR NETHERLANDS B.V.;ARNHEM;280.890
HYFORCE HYDRAULICS B.V.;NUMANSDORP;1.404
HYGEAR B.V.;ARNHEM;111.324
HYGEAR FUEL CELL SYSTEMS B.V.;ARNHEM;52.554
HYGEAR HYDROGEN PLANT B.V.;ARNHEM;41.934
HYGEAR TECHNOLOGY AND SERVICES B.V.;ARNHEM;65.556
HYGONOMIC B.V.;ROERMOND;23.445
HYH B.V.;BARENDRECHT;14.739
HYLKEMA ERFGOED B.V.;UTRECHT;63.003
HYLU B.V.;EMMEN;15.165
HYPERCUBE BUSINESS INNOVATION B.V.;UTRECHT;60.822
HYPHEN HOLDING B.V.;AMSTERDAM;10.953
HYPHEN PROJECTS B.V.;HILVERSUM;35.103
HYPO B.V.;OLDENZAAL;1.527
HYPO HAIR;ALPHEN NB;4.413
HYPRO SPORT B.V.;UDEN;6.456
HYPSOS B.V.;SOESTERBERG;580.059
HYPSOS HOLDING B.V.;SOESTERBERG;20.841
HYRO B.V.;ENSCHEDE;5.631
HYSCON WEST B.V.;KATWIJK ZH;5.850
HYSTER-YALE NEDERLAND B.V.;NIJMEGEN;1.108.851
HYTORC NEDERLAND B.V.;GROESBEEK;58.239
HYVA HOLDING B.V.;ALPHEN AAN DEN RIJN;233.655
HYVA INTERNATIONAL BV;ALPHEN AAN DEN RIJN;156.159
I & G EVENTS B.V.;ELST GLD;72.429
I & O RESEARCH B.V.;ENSCHEDE;111.630
I AKBULUT;HERSTAL;2.577
I ALPTEKIN;COEVORDEN;381
I AM ENGINEER B.V.;ROTTERDAM;3.870
I AM LUIGI B.V.;VOORBURG;2.283
I AM POP B.V.;AMSTERDAM;24.294
I BAKKER;GELDERMALSEN;7.593
I Dekker-WIGBOLDIJ;DELFZIJL;447
I DO I DO B.V.;AMSTERDAM;8.811
I EVANGELU;VENRAY;2.214
I HAIR V.O.F.;LISSE;1.884
I JALLOH;ARNHEM;3.447
I KARAKAS;VENLO;2.253
I KAYA;CUIJK;2.934
I LOVE MY LUNCHROOM B.V.;HAARLEM;6.594
I OZASLAN;WASPIK;14.658
I PULIC;GREVENBROICH;4.887
I SELIER;LEIDEN;1.638
I SLIEKER;VLEUTEN;2.799
I SOLUTION B.V.;EINDHOVEN;19.401
I STUPAVSKA;AMSTERDAM;30.531
I UGURLU;LENT;2.685
I van der WEIDE;DAARLERVEEN;780
I van PUFFELEN;ENSCHEDE;3.426
I&DT B.V.;ZAANDIJK;8.304
I&G FOODS V.O.F;ERMELO;11.481
I. TASVEREN VOF;'S-GRAVENHAGE;36.273
I.A.C. GEOMETRISCH INGENIEURS B.V.;KLAZIENAVEEN;54.417
I.A.N. FACTORING B.V.;VENRAY;11.298
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;77.352
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;17.658
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;17.073
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;16.143
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;15.924
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;12.489
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;11.826
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;11.349
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;11.340
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;10.266
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;9.369
I.B.S. EXPLOITATIE B.V.;LEIDERDORP;1.488
I.C. PRODUCTIONS B.V.;TILBURG;3.372
I.C.C. SCHOONMAAKDIENSTEN B.V.;APELDOORN;1.863
I.C.E. CLEANING NEDERLAND B.V.;ROTTERDAM;6.108
I.D. LASER B.V.;WESTZAAN;1.497
I.D. RIVA TOURS B.V.;ROTTERDAM;11.997
I.D.Z. B.V.;ROTTERDAM;21.942
I.E. PRODUCTS B.V.;SNEEK;54.813
I.F.G. DE WIT B.V.;RODEN;25.719
I.H.E. GROUP B.V.;RIJSENHOUT;2.148
I.K. SYKES ASSOCIATES B.V.;ROTTERDAM;3.495
I.M.A. BEHEERMIJ. B.V.;BEMMEL;12.600
I.N.C.A. TRANSPORT AND TRADING B.V.;CAPELLE AAN DEN IJSSEL;6.000
I.O.S. BOITEN B.V.;LEEUWARDEN;7.497
I.P BEHEER B.V.;HENGELO OV;15.639
I.P ZHAO & L. HE V.O.F.;ROTTERDAM;3.786
I.P.P.T. HOLDING B.V.;KEKERDOM;3.780
I.Q. CREATIVE B.V.;AMSTERDAM;120.426
I.S.M. HOEK B.V.;ZUIDDORPE;18.915
I.S.S. TANKS B.V.;DRACHTEN;5.466
I.S.T. MARINE SUPPLIES B.V.;VLAARDINGEN;33.948
I.T. DUIVEN B.V.;DUIVEN;338.241
I.T.B. ENTERTAINMENT GROUP B.V.;ROSMALEN;1.443
I.T.C. ALLES VOOR UW                KANTOOR N.V.;HOENSBROEK;42.417
I.T.C. HOLLAND TRANSPORT B.V.;OSS;193.569
I.T.K. DIAGNOSTICS B.V.;UITHOORN;28.107
I.T.O. INTERMEDIARY OF TOUR         OPERATORS B.V.;LEIDSCHENDAM;76.506
I.V.S. WAALWIJK B.V.;WAALWIJK;4.161
I2MOTION R&D B.V.;HAPERT;27.795
I2MOTION TRADE B.V.;HAPERT;8.007
IA GEEL;NOORDWIJK ZH;6.192
IA WERKTUIGBOUW B.V.;DUIVEN;31.200
IAAZZA;ROTTERDAM;4.155
IACT B.V.;HAAKSBERGEN;59.544
IAFM KORTEKAAS;SINT-OEDENRODE;2.454
IAGO B.V.;AMSTERDAM;10.428
IAKOVLEVA;VELDHOVEN;270
IAM Oude Weernink-KOUWERT;HAAKSBERGEN;2.472
IAMBNB B.V.;AMSTERDAM;34.680
IAMEXPAT MEDIA;AMSTERDAM;13.980
IATI B.V.;AMSTERDAM;16.659
IAZZOUZAN;'S-GRAVENHAGE;4.365
IB Eskes-DOMAGALA;LELYSTAD;3.609
IB SISO;DREUMEL;3.369
IBC EUROPE B.V.;AMSTERDAM;49.599
IBC EUROPE B.V.;AMSTERDAM;35.448
IBC PERSONEELSDIENSTEN B.V.;VEGHEL;138.999
IBDL B.V.;SPIJKENISSE;8.139
IBDL FACILITIES & SERVICES B.V.;SPIJKENISSE;6.261
I-BEHEER ICT B.V.;COEVORDEN;43.674
IBERDELI B.V.;RIDDERKERK;31.338
IBERIA HOLDING B.V.;VLAARDINGEN;1.017
IBERICUS NL B.V.;RIDDERKERK;8.064
IBG B.V.;GELEEN;7.365
IBIO B.V.;BLARICUM;765
IBIS HOTEL LEIDEN B.V.;RIJNSBURG;104.736
IBIS POWER B.V.;ROTTERDAM;17.994
IBIS STYLES DEN HAAG CITY CENTRE B.V.;'S-GRAVENHAGE;23.199
IBIZA ESTATES B.V.;EINDHOVEN;8.466
IBIZA HORECA BEHEER;AMSTERDAM;2.259
IBIZA SUN B.V.;MAASTRICHT;4.029
IBK B.V.;HOUTEN;297.324
IBLUE MAKELAARS B.V.;AMSTERDAM;26.778
IBNOULMOUJAHID;CAPELLE AAN DEN IJSSEL;4.116
IBRAHIM;VLISSINGEN;8.193
IBRAHIM;BOXTEL;8.106
IBRAHIM;AMSTERDAM;6.621
IBRAHIM;DELFT;6.396
IBRAHIM;ZOETERMEER;4.800
IBRAHIM;AMSTERDAM;4.602
IBRAHIM;AMSTERDAM;2.778
IBRAHIM;LEERDAM;2.310
IBRAHIM;KERKRADE;2.049
IBRAHIM;NUMANSDORP;1.392
IBRAHIM;OUD-BEIJERLAND;804
IBRAHIM;APPINGEDAM;714
IBRAHIMI;EINDHOVEN;3.582
IBRAHIMI;'S-GRAVENHAGE;3.111
IBRAIMOSKI;EDE GLD;1.668
IBRIC;HENGELO OV;6.393
IBRIC;HENGELO OV;4.488
IBS B.V.;UTRECHT;58.317
IBT FLEX B.V.;TILBURG;9.123
IC KRIELAART;POELDIJK;1.293
IC LIMBURG B.V.;MAASTRICHT;36.399
IC UTRECHT B.V.;UTRECHT;4.110
ICAMAT B.V.;MOORDRECHT;104.682
ICARUS BEHEER B.V.;ROTTERDAM;8.475
ICARUS CONSULTANTS B.V.;LEIDEN;44.508
ICATT  INTERACTIVE MEDIA B.V.;AMSTERDAM;39.429
ICCO GROUP B.V.;'S-GRAVENHAGE;40.293
ICE INTERIM B.V.;BREUKELEN UT;103.437
ICE ONE B.V.;BREDA;6.816
ICE TWO B.V.;'S-HERTOGENBOSCH;7.029
ICEBEAR EVENTS B.V.;BARNEVELD;4.641
ICEK TRADING B.V.;LOOSDRECHT;6.372
ICELANDAIR EHF.;AMSTERDAM;41.904
ICEN;EINDHOVEN;366
ICE-O-TONIC INTERNATIONAL B.V.;'S-GRAVENHAGE;3.699
ICETECH B.V.;BALK;17.997
ICEU FLEETPRINT;GRONINGEN;6.114
ICE-WORLD BENELUX B.V.;SOEST;23.127
ICE-WORLD INTERNATIONAL B.V.;SOEST;119.484
ICH & DICH B.V.;SITTARD;69.255
ICH BIN EIN HAMBURGER B.V.;'S-GRAVENHAGE;8.376
ICI MODE B.V.;DOKKUM;4.716
ICLEAN CARWASH BRUNSSUM B.V.;BRUNSSUM;3.024
ICLEAN CARWASH TECHNOLOGIES B.V.;VENRAY;11.412
ICON BROADCAST GROUP B.V.;TERNEUZEN;4.365
ICON EYEWEAR B.V;AMSTELVEEN;3.897
ICON MANAGEMENT B.V.;HARLINGEN;114.564
ICON PRODUCTION B.V.;HARLINGEN;62.988
I-CONCEPT INTERNETWORKS B.V.;ROTTERDAM;2.016
ICONIC STUDIOS B.V.;AMSTERDAM;14.661
ICS - INNOVATIVE CONVEYOR SYSTEMS   B.V.;DORDRECHT;68.133
ICT KRINGLOOP B.V.;ZWOLLE;6.186
ICT MATCHER B.V.;ALMERE;16.431
ICT STATEMENT B.V.;WAARDENBURG;1.236
ICT TRUSTCENTER B.V.;POORTUGAAL;5.973
ICT4YOU B.V.;HOORN NH;30.969
ICTIP B.V.;EINDHOVEN;27.099
ICTOPUS PT B.V.;GELDERMALSEN;17.688
ICTRECHT NOORD-NEDERLAND B.V.;GRONINGEN;11.289
ICTS INTERNATIONAL N.V.;SCHIPHOL;49.635
ID & T ENTERPRISE B.V.;AMSTERDAM;280.212
ID 4 MOTION B.V.;VRIEZENVEEN;29.430
ID CONTROL B.V.;'S-GRAVENHAGE;867
ID FRM B.V.;LEEUWARDEN;7.149
ID LABEL B.V.;MOLENAARSGRAAF;11.517
ID SUITES ZUID B.V.;AMSTERDAM;40.251
ID SYSTEMEN NEDERLAND B.V.;STELLENDAM;10.422
ID&T MERCHANDISE B.V.;AMSTERDAM;111.327
IDAK B.V.;ETTEN-LEUR;38.889
IDB ELEKTRO ZUID B.V.;GELEEN;17.778
IDB JOB SUPPORT B.V.;GELEEN;35.913
IDB JOB SUPPORT B.V.;GELEEN;5.025
IDB NEDERLAND B.V.;GELEEN;11.061
IDBIKE PRODUCTS B.V.;RIEL;25.257
IDCAFE B.V.;UDEN;10.680
IDCHECKCENTER B.V.;HENGELO GLD;4.032
IDEA VENDING B.V.;AMERSFOORT;37.920
IDEAAL B.V.;HORST;42.276
IDEAAL BOUWSUPPORT B.V.;'S-GRAVENHAGE;10.662
IDEAL CONCEPT NEDERLAND B.V.;ZOETERMEER;154.617
IDEA-X B.V.;ALMKERK;39.954
IDEKO SOUND STUDIO B.V.;AMSTERDAM-DUIVENDRECHT;20.907
IDEMA;EDE GLD;2.796
IDENBURG CARWASH B.V.;DELFT;5.586
IDENTIFY SERVICES B.V.;WAARDENBURG;40.323
I-DESIGN DEVELOPMENT B.V.;DEVENTER;19.173
IDETRADING ELECTRONICS B.V.;DORDRECHT;20.097
I-DID DEN HAAG B.V.;'S-GRAVENHAGE;52.359
I-DID UTRECHT B.V.;UTRECHT;27.075
IDLEWILD AFRICA TRAVEL B.V.;AMERSFOORT;8.298
IDOLS DEN HAAG B.V.;'S-GRAVENHAGE;10.077
IDOLS RIJSWIJK B.V.;RIJSWIJK ZH;18.855
IDRISSI;BAARN;2.058
ID-SAT B.V.;WOLPHAARTSDIJK;3.630
IDUET ICT B.V.;HAARLEM;3.498
IDYN B.V.;DUSSEN;14.925
IEDERZIJNWERK - ARBEIDSCOACHING B.V.;NIJHUIZUM;26.442
IEDERZIJNWERK AMBULANT B.V.;NIJHUIZUM;14.793
IEGEWIES B.V.;CALLANTSOOG;20.523
IEMAND B.V.;VLIJMEN;2.742
IEML FERNANDEZ Y VAN DE GREEF;SCHIJNDEL;3.162
IEP, INSTITUUT VOOR ECLECTISCHE     PSYCHOLOGIE B.V.;NIJMEGEN;5.661
IERSEL;GELDROP;5.991
IERSEL;MOERGESTEL;2.850
IERSEL;OISTERWIJK;2.466
IERSEL;OOSTERHOUT NB;1.812
IERSEL;HELVOIRT;1.743
IEWAL 44 B.V.;WOUDSEND;45.951
IEZIE-FIT B.V.;ELST GLD;1.395
IF & COCO B.V.;LEIDEN;7.251
IF CAFE B.V.;'S-HERTOGENBOSCH;10.164
IF IMAGE FACTORY B.V.;CAPELLE AAN DEN IJSSEL;1.839
IFC B.V.;ZWIJNDRECHT;46.938
IFC B.V.;ZWIJNDRECHT;6.891
IFC PEOPLE B.V.;ZWIJNDRECHT;492.069
IFC WORK B.V.;ZWIJNDRECHT;304.752
IFEE METAAL B.V.;LICHTENVOORDE;2.640
IFH HOLDING BV;NIJKERK GLD;6.720
IFIAC FINANCIEEL B.V.;PURMEREND;43.971
IFIAC PERSONEEL B.V.;PURMEREND;9.879
IFORHOSPITALITY GROUP B.V.;KOUDEKERK AAN DEN RIJN;30.135
IFS AUDIOVISUEEL B.V.;RIJSWIJK ZH;15.645
IFUNDS (NEDERLAND) B.V.;NIEUWEGEIN;83.841
IG HORECA B.V.;SCHIEDAM;37.563
IG LEARNING B.V.;VUGHT;3.573
IGAM B.V.;NIJMEGEN;10.053
IGB B.V.;WIERINGERWERF;14.550
IGBINOSA;BREDA;798
IGDIR;'S-GRAVENHAGE;28.284
IGL TECHNISCH METEN B.V.;ZOETERMEER;25.896
IGLI;LEEUWARDEN;6.387
IGLUU B.V.;'S-GRAVENHAGE;37.143
IGNATIOS V.O.F.;ASTEN;14.487
IGNITE FILMS DISTRIBUTION SERVICES  B.V.;AMSTERDAM;2.094
IGOUNET;MIDDELBURG;5.373
IGT-EUROPE B.V.;AMSTERDAM;280.365
IH PLUG;ZEVENHUIZEN ZH;3.552
IH Roossink-RADSTAKE;ZELHEM;2.013
IH SERVICES & FACILITIES B.V.;'S-GRAVENHAGE;3.462
IHAHOUIEN;ROTTERDAM;16.797
IHC MERWEDE EMPLOYMENT B.V.;KINDERDIJK;5.468.736
IHC SAS - HYTOP B.V.;SLIEDRECHT;29.487
IHC SAS ENGINEERING B.V.;ALPHEN AAN DEN RIJN;31.338
IHC SAS MATERIALS HANDLING          SYSTEMS B.V.;ALPHEN AAN DEN RIJN;32.820
IHC SAS WINCHES B.V.;ALPHEN AAN DEN RIJN;19.551
IHG ROESTVASTSTAAL B.V.;OUDE-TONGE;47.583
IHI HAUZER TECHNO COATING           ENGINEERING B.V.;VENLO;77.139
IHI HAUZER TECHNO COATING B.V.;VENLO;117.450
IHI HAUZER TECHNO COATING PRODUCTION B.V.;VENLO;70.650
I-HOSPITALITY GROUP B.V.;ARNHEM;4.497
II BISHARA;GRONINGEN;3.180
II DIJKSTRA;ARNHEM;11.541
II ZEBARI;LEEUWARDEN;1.032
IJ HOSPITALITY B.V.;AMSTERDAM;23.943
IJ. VAN KAMMEN TENTENVERHUUR EN CATERINGBEDRIJVEN;OOSTERNIJKERK;67.593
IJ. VAN KAMMEN TENTENVERHUUR EN CATERINGBEDRIJVEN;OOSTERNIJKERK;12.639
IJBEMA;HARLINGEN;5.253
IJBURG HOTEL B.V.;AMSTERDAM;45.699
IJDEMA;FRANEKER;5.136
IJDO;LEUSDEN;2.157
IJDOORN B.V.;AMSTERDAM;12.807
IJGOSSE;ZANDVOORT;5.355
IJKELENSTEIJN B.V.;UTRECHT;4.953
IJKGEBOUW ALKMAAR B.V.;SCHOORL;67.632
IJMUIDENSE RONDVAARTMAATSCHAPPIJ B.V;IJMUIDEN;3.855
IJMUIDENSE VOETBALVERENIGING        STORMVOGELS;IJMUIDEN;3.573
IJMUIDER CONTROLE- EN STUWADOORS    MAATSCHAPPIJ B.V.;IJMUIDEN;8.880
IJMUIDER STICHTING ZEE- EN          HAVENMUSEUM;IJMUIDEN;960
IJNTEMA;GRONINGEN;1.992
IJPELAAR GRONDWERKEN B.V.;TILBURG;13.401
IJS & KOFFIESALON HUBERTS V.O.F.;MEPPEL;17.970
IJS EN ZOPIE B.V.;UTRECHT;5.400
